site,acer_rubrum,ambart,ambpsi,ambtri,ash_seedling,bromus_inermis,cirsium_arve,conium_maculatum,cornus_sp,curlydock,dogbane,forb1,hordjub,lespedeza,lythrum_sal,melilotus,mullein,poa_prat,setaria,stjohnswort,taoff,toxicodendron
2016 a 1 3 1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1
2016 a 1 3 2,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0
2016 a 1 3 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016 a 2 2 1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016 a 2 2 2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0
2016 a 2 2 3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016 a 3 3 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2016 a 3 3 2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2016 a 3 3 3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,1,0,0,0
2016 a 4 1 1 ,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0
2017 a 4 1 2,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018 a 4 1 3 ,1,0,3,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016 b 1 2 1,2,0,0,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0,3,0,2
2016 b 1 2 2,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016 b 1 2 3,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016 b 2 1 1,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2016 b 2 1 2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016 b 2 1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016 b 3 2 1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2016 b 3 2 2,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2016 b 3 2 3,2,3,0,0,0,0,2,0,3,0,3,0,0,0,0,3,0,0,0,0,0,1
2016 b 4 3 1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0
2016 b 4 3 2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,3,0,0,0
2016 b 4 3 3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
2016 c 1 1 1,0,0,0,0,0,1,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0
2016 c 1 1 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016 c 1 1 3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
2016 c 2 3 1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
2016 c 2 3 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016 c 2 3 3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0
2016 c 3 2 1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0
2016 c 3 2 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0
2016 c 3 2 3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
2016 c 4 1 1,3,0,3,0,1,0,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1
2016 c 4 1 2,1,2,0,2,0,0,2,0,2,0,0,0,1,0,0,2,0,0,2,0,0,1
2016 c 4 1 3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
